epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,513.711,0.69009,0.68961,0.8809,0.97493,0.97524,0.97709,0.8687,0.53352,0.5365,0.85384,0.004258,0.004258,0.004258
118,519.385,0.65413,0.62412,0.84646,0.96863,0.97551,0.97709,0.89412,0.52623,0.57924,0.85551,0.0042085,0.0042085,0.0042085
119,524.327,0.64339,0.62191,0.83394,0.96863,0.97551,0.97709,0.89412,0.52623,0.57924,0.85551,0.004159,0.004159,0.004159
120,528.32,0.6211,0.65927,0.85284,0.97843,0.97791,0.97708,0.892,0.49766,0.5475,0.85088,0.0041095,0.0041095,0.0041095
121,532.576,0.69641,0.6315,0.84571,0.97493,0.97734,0.97708,0.89021,0.5203,0.57157,0.85203,0.00406,0.00406,0.00406
122,536.841,0.67284,0.64341,0.88958,0.97399,0.97831,0.97709,0.85619,0.56868,0.58094,0.85779,0.0040105,0.0040105,0.0040105
123,540.627,0.65639,0.63463,0.84943,0.97399,0.97831,0.97709,0.85619,0.56868,0.58094,0.85779,0.003961,0.003961,0.003961
124,545.753,0.63283,0.62527,0.83836,0.97632,0.97895,0.97707,0.88765,0.52984,0.5689,0.85251,0.0039115,0.0039115,0.0039115
125,550.806,0.66943,0.60826,0.87353,0.9861,0.98148,0.9771,0.87078,0.53275,0.54718,0.85543,0.003862,0.003862,0.003862
126,556.767,0.74872,0.72991,0.88847,0.98743,0.98148,0.97712,0.89041,0.50891,0.53606,0.8525,0.0038125,0.0038125,0.0038125
127,560.439,0.61052,0.577,0.84903,0.98743,0.98148,0.97712,0.89041,0.50891,0.53606,0.8525,0.003763,0.003763,0.003763
128,566.552,0.61209,0.6109,0.83717,0.98663,0.98148,0.97717,0.88587,0.51529,0.52027,0.85267,0.0037135,0.0037135,0.0037135
129,571.925,0.60989,0.57503,0.83725,0.97269,0.97532,0.97716,0.88908,0.50982,0.53049,0.8509,0.003664,0.003664,0.003664
130,577.118,0.66943,0.58542,0.85668,0.98263,0.95779,0.97716,0.8808,0.49912,0.5206,0.85004,0.0036145,0.0036145,0.0036145
131,581.568,0.61707,0.58615,0.85041,0.98263,0.95779,0.97716,0.8808,0.49912,0.5206,0.85004,0.003565,0.003565,0.003565
132,586.366,0.61466,0.596,0.84247,0.98257,0.9569,0.97713,0.88118,0.51748,0.55969,0.85046,0.0035155,0.0035155,0.0035155
133,591.558,0.62702,0.59979,0.84532,0.98766,0.96222,0.97716,0.88884,0.49017,0.51474,0.84942,0.003466,0.003466,0.003466
134,597,0.66295,0.63457,0.857,0.98288,0.9613,0.97714,0.88115,0.51777,0.53979,0.84818,0.0034165,0.0034165,0.0034165
135,600.405,0.62037,0.57906,0.84321,0.98288,0.9613,0.97714,0.88115,0.51777,0.53979,0.84818,0.003367,0.003367,0.003367
136,604.711,0.58018,0.57631,0.85346,0.98763,0.96187,0.97716,0.88205,0.52065,0.51544,0.84983,0.0033175,0.0033175,0.0033175
137,609.992,0.60075,0.59272,0.83903,0.98623,0.95645,0.97713,0.88596,0.48687,0.51493,0.84718,0.003268,0.003268,0.003268
138,614.066,0.58074,0.61011,0.84738,0.98913,0.9598,0.9771,0.87339,0.50609,0.51953,0.84652,0.0032185,0.0032185,0.0032185
139,617.863,0.61239,0.57127,0.85155,0.98913,0.9598,0.9771,0.87339,0.50609,0.51953,0.84652,0.003169,0.003169,0.003169
140,623.567,0.61409,0.54423,0.85042,0.98884,0.95828,0.97709,0.88223,0.50493,0.51325,0.84693,0.0031195,0.0031195,0.0031195
141,629.325,0.58051,0.5594,0.84395,0.98905,0.95874,0.97711,0.87418,0.50931,0.51918,0.84862,0.00307,0.00307,0.00307
142,634.596,0.57434,0.55549,0.82664,0.985,0.96385,0.9771,0.89658,0.47882,0.49876,0.84498,0.0030205,0.0030205,0.0030205
143,638.844,0.58087,0.54937,0.82994,0.985,0.96385,0.9771,0.89658,0.47882,0.49876,0.84498,0.002971,0.002971,0.002971
144,645.155,0.69363,0.98412,0.88175,0.97396,0.97408,0.97708,0.88507,0.50034,0.50703,0.84554,0.0029215,0.0029215,0.0029215
145,650.218,0.58476,0.55503,0.84026,0.97378,0.97119,0.97707,0.89743,0.46471,0.48386,0.84501,0.002872,0.002872,0.002872
146,655.474,0.64189,0.53393,0.85553,0.97696,0.97768,0.97707,0.87315,0.5428,0.48648,0.84942,0.0028225,0.0028225,0.0028225
147,659.373,0.69744,0.59616,0.85376,0.97696,0.97768,0.97707,0.87315,0.5428,0.48648,0.84942,0.002773,0.002773,0.002773
148,664.073,0.55064,0.54731,0.82383,0.97445,0.97646,0.97706,0.89983,0.46896,0.47537,0.84596,0.0027235,0.0027235,0.0027235
149,669.151,0.59515,0.51835,0.84564,0.97777,0.97762,0.97708,0.88787,0.5131,0.49569,0.84604,0.002674,0.002674,0.002674
150,673.565,0.59195,0.59209,0.84419,0.97812,0.97775,0.97708,0.89141,0.47654,0.47684,0.84703,0.0026245,0.0026245,0.0026245
151,676.874,0.53252,0.52803,0.83026,0.97812,0.97775,0.97708,0.89141,0.47654,0.47684,0.84703,0.002575,0.002575,0.002575
152,680.906,0.60619,0.56466,0.84751,0.98147,0.9799,0.97709,0.88228,0.52071,0.49453,0.84633,0.0025255,0.0025255,0.0025255
153,685.484,0.59683,0.56865,0.84067,0.97911,0.97826,0.97712,0.90114,0.48075,0.4988,0.84459,0.002476,0.002476,0.002476
154,690.91,0.58411,0.60645,0.84089,0.98243,0.97836,0.97711,0.88845,0.51442,0.49719,0.84674,0.0024265,0.0024265,0.0024265
155,693.874,0.64958,0.57488,0.86734,0.98243,0.97836,0.97711,0.88845,0.51442,0.49719,0.84674,0.002377,0.002377,0.002377
156,698.364,0.60336,0.5368,0.84443,0.97752,0.97802,0.97711,0.89794,0.47487,0.49755,0.84416,0.0023275,0.0023275,0.0023275
157,703.469,0.64243,0.53951,0.86766,0.97737,0.97813,0.9771,0.89347,0.47241,0.47798,0.84359,0.002278,0.002278,0.002278
158,707.878,0.57511,0.56999,0.83775,0.97719,0.97998,0.97707,0.88928,0.49287,0.49678,0.84623,0.0022285,0.0022285,0.0022285
159,711.015,0.63299,0.59665,0.8225,0.97719,0.97998,0.97707,0.88928,0.49287,0.49678,0.84623,0.002179,0.002179,0.002179
160,714.821,0.56955,0.59725,0.84108,0.981,0.98148,0.97707,0.88613,0.51697,0.49003,0.84665,0.0021295,0.0021295,0.0021295
161,719.383,0.65443,0.64063,0.8526,0.97702,0.98136,0.97707,0.89825,0.46794,0.49346,0.84318,0.00208,0.00208,0.00208
162,724.339,0.66501,0.57836,0.85226,0.97662,0.97889,0.97707,0.87676,0.51341,0.48011,0.84627,0.0020305,0.0020305,0.0020305
163,728.713,0.59796,0.52307,0.82997,0.97662,0.97889,0.97707,0.87676,0.51341,0.48011,0.84627,0.001981,0.001981,0.001981
164,732.638,0.51371,0.56585,0.84792,0.9787,0.97857,0.97705,0.90155,0.45707,0.45819,0.84145,0.0019315,0.0019315,0.0019315
165,737.305,0.56672,0.5279,0.84318,0.98363,0.98148,0.97706,0.90606,0.48355,0.46358,0.84251,0.001882,0.001882,0.001882
166,741.617,0.52828,0.51407,0.82164,0.98135,0.98085,0.97704,0.89364,0.46655,0.46184,0.8424,0.0018325,0.0018325,0.0018325
167,744.159,0.71525,0.56651,0.87096,0.98135,0.98085,0.97704,0.89364,0.46655,0.46184,0.8424,0.001783,0.001783,0.001783
168,748.518,0.5275,0.4989,0.8304,0.97481,0.97986,0.97707,0.89594,0.4906,0.46206,0.84264,0.0017335,0.0017335,0.0017335
169,753.26,0.53561,0.50848,0.83726,0.97395,0.97923,0.97706,0.89421,0.46306,0.46007,0.84032,0.001684,0.001684,0.001684
170,757.197,0.53929,0.48426,0.82381,0.97385,0.97908,0.97707,0.89796,0.47286,0.45891,0.83965,0.0016345,0.0016345,0.0016345
171,761.119,0.55261,0.5016,0.82271,0.97385,0.97908,0.97707,0.89796,0.47286,0.45891,0.83965,0.001585,0.001585,0.001585
172,766.238,0.52664,0.49888,0.83807,0.9756,0.97776,0.97709,0.89899,0.45734,0.45832,0.83948,0.0015355,0.0015355,0.0015355
173,770.403,0.53626,0.52346,0.84447,0.97962,0.97898,0.97709,0.89397,0.48112,0.45534,0.84194,0.001486,0.001486,0.001486
174,775.821,0.60869,0.53166,0.82215,0.98157,0.98084,0.97707,0.90197,0.47195,0.44714,0.84055,0.0014365,0.0014365,0.0014365
175,779.568,0.55952,0.50551,0.82259,0.98157,0.98084,0.97707,0.90197,0.47195,0.44714,0.84055,0.001387,0.001387,0.001387
176,783.298,0.53373,0.49131,0.81362,0.98331,0.98148,0.97707,0.9013,0.46426,0.44966,0.83949,0.0013375,0.0013375,0.0013375
177,787.416,0.54597,0.48052,0.82291,0.98603,0.98148,0.97708,0.9008,0.46646,0.45993,0.83976,0.001288,0.001288,0.001288
178,791.41,0.53298,0.53506,0.83094,0.98769,0.98148,0.9771,0.89677,0.46295,0.45331,0.83829,0.0012385,0.0012385,0.0012385
179,793.978,0.54405,0.52007,0.84669,0.98769,0.98148,0.9771,0.89677,0.46295,0.45331,0.83829,0.001189,0.001189,0.001189
180,797.061,0.53843,0.49009,0.83767,0.98732,0.98148,0.97709,0.89252,0.46315,0.44679,0.84106,0.0011395,0.0011395,0.0011395
181,801.051,0.53277,0.52737,0.80568,0.98614,0.98148,0.97711,0.89844,0.45971,0.44405,0.84041,0.00109,0.00109,0.00109
182,804.882,0.54101,0.51047,0.80576,0.98247,0.98148,0.97711,0.89585,0.45244,0.44245,0.83934,0.0010405,0.0010405,0.0010405
183,807.12,0.58062,0.49135,0.83238,0.98247,0.98148,0.97711,0.89585,0.45244,0.44245,0.83934,0.000991,0.000991,0.000991
